femelă mascul
cler laicitate
despărțire unitate
separare unitate
deranj ordine
neorânduială ordine
deranj rânduială
dezordine rânduială
deranj rost
dezordine rost
neorânduială rost
destoinicie incapacitate
incapacitate iscusință
incapacitate potențial
incapacitate pricepere
destoinicie nepricepere
iscusință nepricepere
nepricepere potențial
ordine tulburare
existență neființă
inexistență prezență
neființă prezență
nonexistență prezență
conducător următor
cunoștință străin
cunoștință necunoscut
cunoscut străin
copil părinte
angajator salariat
angajator slujbaș
maică taică
mamă taică
maică tată
mamă tată
băiat copilă
băiat fată
neachitare plată
durere plăcere
plăcere suferință
dezarmare fabricare
deflație inflație
raportare ruptură
relaționare ruptură
imposibilitate potențialitate
imposibilitate probabilitate
imposibilitate virtualitate
neputință posibilitate
neputință potențialitate
neputință probabilitate
neputință virtualitate
heterodox ortodox
eterodox ortodox
gazdă parazit
cooperație concurență
cooperație rivalitate
cooperație întrecere
cooperare concurență
cooperare rivalitate
cooperare întrecere
prostie înțelepciune
incertitudine siguranță
exterior interior
biruință înfrângere
izbândă înfrângere
triumf înfrângere
victorie înfrângere
gratitudine nerecunoștință
ingratitudine recunoștință
prietenie răceală
securitate îndoială
dubiu securitate
incertitudine securitate
neîncredere securitate
nesiguranță securitate
securitate scepticism
siguranță îndoială
dubiu siguranță
neîncredere siguranță
siguranță scepticism
răspuns întrebare
chestiune răspuns
inferior superior
superior subaltern
superior subordonat
ascendent descendent
ascendent urmaș
imparțialitate părtinire
favorizare imparțialitate
comedie tragedie
compatibilitate nepotrivire
grăsan pricăjit
grăsan sfrijit
grăsan slăbănog
costeliv grăsan
bunăstare lipsă
lipsă prosperitate
bogăție lipsă
belșug lipsă
bunăstare mizerie
mizerie prosperitate
bogăție mizerie
belșug mizerie
bunăstare nevoie
nevoie prosperitate
bogăție nevoie
belșug nevoie
bunăstare sărăcie
prosperitate sărăcie
bogăție sărăcie
belșug sărăcie
cetățean străin
mătușă unchi
tanti unchi
trecut viitor
trecut viitorime
bărbat nevastă
bărbat soție
gospodar nevastă
gospodar soție
nevastă soț
uscăciune umiditate
dezbinare unificare
sciziune unificare
dezbinare unire
sciziune unire
anod catod
minoritate majoritate
disciplină neascultare
disciplină nesupunere
conștiință inconștiență
conștiință iresponsabilitate
nominativ oblic
dușman sprijinitor
inamic sprijinitor
sprijinitor vrăjmaș
dușman susținător
inamic susținător
susținător vrăjmaș
buruiană cultură
indelicatețe tact
alienare luciditate
alienație luciditate
demență luciditate
luciditate nebunie
luciditate sminteală
luciditate smintire
luciditate țicneală
antonim sinonim
băiat fiică
copil fiică
fiică fecior
fiică fiu
fiică flăcău
export import
față fund
fund față
credință disperare
credință desperare
disperare nădejde
desperare nădejde
disperare speranță
desperare speranță
conductor dielectric
conductor izolant
amărăciune fericire
fericire mâhnire
fericire nenorocire
desăvârșire imperfecțiune
