plantă vegetală
fapt fenomen
fenomen fapt
neîndeplinire nerealizare
nerealizare neîndeplinire
mișcare propulsare
alegere opțiune
măcinare măcinat
măcinare măciniș
măcinat măcinare
măcinat măciniș
măciniș măcinare
măciniș măcinat
tipar șablon
funcționare performanță
operație operațiune
operațiune operație
conflict război
afaceri comerț
gânganie gâză
gânganie hexapod
gânganie insectă
gâză gânganie
gâză hexapod
gâză insectă
hexapod insectă
chestie chestiune
chestiune chestie
așezămînt stabiliment
serviciu slujbă
slujbă serviciu
instalație utilaj
material țesătură
fileu plasă
fileu rețea
plasă rețea
mobilă mobilier
mobilier mobilă
doctorie medicament
decorație înfloritură
decorațiune înfloritură
ornament înfloritură
podoabă înfloritură
decorație decorațiune
decorație ornament
decorație podoabă
decorațiune decorație
decorațiune ornament
decorațiune podoabă
ornament podoabă
excavare săpare
pânză velă
moară râșniță
pasaj trecere
fabrică uzină
par prăjină
prăjină par
băț nuia
băț vargă
opritoare piedică
navă vapor
navă vas
vapor vas
vas vapor
magazin prăvălie
caracter structură
fire natură
fire temperament
natură temperament
esență natură
esență substanță
natură substanță
drept privilegiu
corp trup
unime unitate
unitate unime
scriere scris
scris scriere
biografie viață
pâine pită
pită pâine
președinte prezident
prezident președinte
existență trai
existență viață
trai viață
ordine rânduială
ordine rost
rânduială rost
rost rânduială
instanțiere ocurență
vână venă
venă vână
număr serie
glas voce
limbă limbaj
limbaj limbă
însușire învățare
asimilare însușire
învățare însușire
asimilare învățare
cap minte
limbă vorbire
limbaj vorbire
concept idee
concept noțiune
idee noțiune
plan program
program plan
cifră număr
cifră numeral
număr numeral
numeral număr
modă vogă
cuvânt termen
cuvânt vorbă
termen vorbă
film peliculă
compunere literatură
abstracțiune abstract
abstract abstracțiune
incapacitate nepricepere
lume realitate
disciplină știință
expresie formă
poezie stihuri
poezie versuri
stihuri versuri
confesiune credință
confesiune cult
confesiune religie
confesiune rit
credință confesiune
credință cult
credință religie
credință rit
cult confesiune
cult credință
cult religie
cult rit
religie rit
rit religie
argumentație argumentare
argumentație raționament
argumentare argumentație
argumentare raționament
ceas oră
praf pudră
praf pulbere
pudră praf
pudră pulbere
pulbere praf
pulbere pudră
dezordine tulburare
deranjament dereglare
deranjament tulburare
dereglare deranjament
dereglare tulburare
existență prezență
timp vreme
fântână izvor
locutor vorbitor
competitor concurent
concurent competitor
aborigen autohton
aborigen băștinaș
aborigen indigen
aborigen pământean
autohton aborigen
autohton băștinaș
autohton indigen
autohton pământean
băștinaș indigen
băștinaș pământean
indigen pământean
cunoștință cunoscut
cunoscut cunoștință
avocat exponent
copil minor
contact legătură
contact relație
legătură relație
angajat salariat
angajat slujbaș
salariat slujbaș
slujbaș salariat
taică tată
tată taică
posesor proprietar
posesor stăpân
proprietar posesor
proprietar stăpân
maică mamă
mamă maică
parte participație
participație parte
bir contribuție
bir dare
bir impozit
contribuție dare
contribuție impozit
dare impozit
ban valută
față latură
față parte
latură parte
casă familie
legumă zarzavat
departament secție
clasă grupă
asociație colectivitate
asociație tabără
colectivitate tabără
învățământ școală
talaz undă
talaz val
undă val
patrie țară
stat țară
patrie stat
regiune zonă
ansamblu companie
ansamblu trupă
companie trupă
afacere întreprindere
firmă întreprindere
afacere firmă
parte regiune
dorință poftă
frontieră graniță
frontieră hotar
frontieră limită
frontieră margine
graniță hotar
graniță limită
graniță margine
hotar limită
hotar margine
limită margine
goliciune nuditate
blanc spațiu
bocanc cizmă
bocanc gheată
