plânge râde
reduce înmulți
mări reduce
reduce spori
restrânge înmulți
mări restrânge
restrânge spori
cunoaște ignora
deschide închide
duce apropia
duce veni
premerge urma
premerge veni
lungi scurta
șopti țipa
șușoti țipa
mierli naște
muri naște
naște pieri
naște răposa
naște sucomba
răvăși rândui
slăbi întări
domoli irita
lumin înnegura
lumin înnora
lumin întuneca
urâți înfrumuseța
goli umple
coborî ridica
răci încălzi
răcori încălzi
pluti îneca
pluti scufunda
deschide încuia
amănunți prescurta
amănunți scurta
amănunți tăia
desface prinde
nemulțumi încânta
nemulțumi plăcea
extinde intra
însufleți paraliza
falsific îndrepta
falsific corecta
falsific corija
falsific rectifica
împărți înmulți
despărți încrucișa
desface încrucișa
despărți intersecta
desface intersecta
dezmoșteni lăsa
drege distruge
distruge repara
prăbuși reuși
depune extrage
extrage pune
extrage vărsa
depune scoate
pune scoate
scoate vărsa
opri vărsa
menține vărsa
opri voma
menține voma
opri vomita
menține vomita
borî împiedica
borî opri
borî menține
descâlci încâlci
descâlci încurca
înveseli plânge
binedispune plânge
înveseli văita
binedispune văita
ajunge pleca
aprinde închide
aprinde întrerupe
deschide întrerupe
îndoi îndrepta
crește micșora
crește reduce
crește scădea
crește împuțina
începe încheia
sfârși începe
isprăvi începe
îngroș subția
aspri netezi
netezi înăspri
mări scădea
diversific specializa
indispune înclina
angaj desprinde
angaj desface
angaj separa
angaj detașa
lărgi lua
lărgi strâmta
întări înmuia
întâlni diverge
istovi împrospăta
secătui împrospăta
sfârși împrospăta
slei împrospăta
stoarce împrospăta
vlăgui împrospăta
deschide întuneca
premerge succeda
cumpăni dezechilibra
disjunge lega
deznădăjdui spera
lungi micșora
ieși intra
închide deschide
nedreptăți îndrepta
încălzi răci
încinge răci
înfierbânt răci
încălzi răcori
încinge răcori
înfierbânt răcori
menține profita
menține beneficia
menține pierde
d urca
coborî urca
desface încheia
sărăci îmbogăți
sărăci înavuți
desface lega
subți îngroșa
acoperi descoperi
acoperi dezbrăca
reglement deregla
retrage înainta
înmulți împărți
aminti uita
converge diverge
corespunde dezaproba
potrivi dezaproba
umezi usca
desface îmbina
desface întâlni
uni desface
iubi urî
urî îndrăgi
regres contura
retrograd contura
rândui răvăși
alipi desface
alipi desprinde
alipi detașa
alipi dezlipi
desface lipi
desprinde lipi
despărți converge
slobozi încătușa
slobozi înlănțui
abține consuma
reține consuma
abține obișnui
reține obișnui
abține sevi
reține sevi
primi refuza
primi respinge
trezi adormi
pierde ține
dibui pierde
dibui rătăci
găsi pierde
găsi rătăci
pierde regăsi
regăsi rătăci
exclude îngloba
cuprinde elimina
cuprinde exclude
cuprinde îndepărta
cuprinde înlătura
cuprinde da
exclude include
include îndepărta
include înlătura
schimb menține
schimb păstra
destinde încorda
destinde tensiona
înrăutăți îmbunătăți
cere scăpa
impune scăpa
descotorosi cere
descotorosi comporta
descotorosi impune
descotorosi necesita
descotorosi lua
îngădui împiedica
preveni îngădui
permite împiedica
permite preveni
permite preîntâmpina
orândui răvăși
orândui zăpăci
orândui încurca
admite refuza
admite respinge
fierbe îngheța
consimți declina
consimți refuza
continu întrerupe
urm întrerupe
continu opri
urm opri
avans retrage
mări micșora
lărgi îngusta
lărgi strânge
adeveri dezminți
dezminți întări
adeveri infirma
desluși obscura
desluși întuneca
lămuri obscura
lămuri întuneca
limpezi obscura
limpezi întuneca
îmbunătăți înăspri
înrăutăți îndrepta
înrăutăți ameliora
plec opri
porni opri
admite dezminți
admite nega
admite tăgădui
admite contesta
desface fixa
flămânzi hrăni
deosebi însemna
diferi însemna
deosebi face
diferi face
face varia
grăbi încetini
grăbi întârzia
zori încetini
zori întârzia
înrăutăți întrema
înrăutăți înzdrăveni
începe înceta
sfârși porni
porni înceta
admite împiedica
admite obstrucționa
trage împinge
ivi dispărea
ivi evapora
ivi pieri
strânge împrăștia
răspândi strânge
pierde profita
convinge schimba
rătăci regăsi
rat ciocni
rat izbi
rat lovi
scuti îndeplini
apune răsări
asfinți răsări
coborî răsări
desface înșuruba
desface strânge
reîntineri îmbătrâni
înfund desfunda
înfund destupa
îmbunătăți înrăutăți
îndrept înrăutăți
amelior înrăutăți
crede renega
crede respinge
scoate înfige
scoate împlânta
scoate vârî
slăbi împietri
slăbi încremeni
slăbi înlemni
slăbi înmărmuri
lipsi îmbogăți
văduvi îmbogăți
goni zăbovi
spori scădea
așez ridica
așez scula
încord deconecta
încord destinde
încord relaxa
tension deconecta
tension destinde
tension relaxa
atrage dezgusta
pierde păstra
cere pierde
pierde pretinde
pierde reclama
pierde revendica
uni dezmembra
unific dezmembra
îndoi întinde
deschide îndoi
desface îndoi
întinde îndoi
aboli instaura
aboli stabili
stabili suprima
aboli propune
propune suprima
aboli înființa
domoli stimula
potoli stimula
domoli incita
ascuți domoli
apăre stinge
porni încheia
termin porni
isprăvi porni
părăsi rămâne
părăsi sta
dobândi pierde
dobândi rata
dobândi scăpa
pierde realiza
batjocori onora
compromite onora
necinsti onora
deschide încheia
deschide sfârși
deschide termina
extinde micșora
extinde reduce
pierde participa
albi înnegri
înnegri înălbi
ieftini scumpi
coborî sui
scoborî sui
scoborî urca
abține acționa
reține acționa
lenevi munci
munci trândăvi
adormi trezi
adormi deștepta
adormi scula
coborî sălta
sui scoborî
trece trânti
desface rămâne
ocoli înfrunta
acri îndulci
înăcri îndulci
debarc îmbarca
însoți împărți
întovărăși împărți
uni împărți
însoți despărți
întovărăși despărți
uni despărți
însoți divide
întovărăși divide
uni divide
însoți diviza
întovărăși diviza
uni diviza
însoți scinda
întovărăși scinda
uni scinda
însoți secționa
întovărăși secționa
uni secționa
însoți separa
întovărăși separa
uni separa
aprinde înăbuși
aprinde stinge
despleti împleti
despleti răsuci
pretinde pierde
nemulțumi satisface
conține exclude
proscrie repatria
crescendo diminuendo
călăuzi deruta
călăuzi dezorienta
conduce deruta
conduce dezorienta
trage scoate
liniști amplifica
desfund obtura
desfund înfunda
destup obtura
destup înfunda
alambic destrăma
abduce ghemui
deschide bloca
despărți împreuna
amplific liniști
ascuți atenua
economisi irosi
absolvi blama
absolvi învinui
absolvi învinovăți
apreci deprecia
apreci devaloriza
desface înfășura
desface înveli
distruge drege
menține schimba
păstr schimba
domoli înflăcăra
liniști înflăcăra
potoli înflăcăra
domoli entuziasma
întări muia
ridic așeza
scul așeza
absorbi degaja
absorbi emana
absorbi emite
absorbi exala
potoli înteți
slăbi înteți
ascuți toci
permite refuza
dovedi infirma
dovedi invalida
trânti trece
iuți încetini
lămuri încâlci
lămuri încurca
desluși încâlci
desluși încurca
mâhni bucura
amărî bucura
scârbi bucura
goli încărca
ascunde arăta
menține înceta
menține întrerupe
conteni conserva
conteni menține
conteni păstra
conteni perpetua
conteni continua
menține părăsi
părăsi păstra
părăsi perpetua
interzice încuviința
interzice îngădui
interzice permite
opri încuviința
opri îngădui
opri permite
înzdrăveni degenera
deterior îndrepta
deterior întrema
deterior înzdrăveni
clădi dărâma
construi dărâma
lenevi lucra
înzdrăveni înrăutăți
afurisi binecuvânta
afurisi blagoslovi
blagoslovi damna
înveseli împovăra
preveni permite
stăpâni stimula
stăvili stimula
atrage goni
atrage izgoni
opri porni
absolvi acuza
îndrept agrava
îndrept deteriora
înzdrăveni agrava
înzdrăveni deteriora
disprețui flata
disprețui linguși
linguși nesocoti
disprețui măguli
măguli nesocoti
disprețui peria
nesocoti peria
relax încorda
relax tensiona
cinsti desconsidera
disprețui respecta
cinsti disprețui
nesocoti respecta
cinsti nesocoti
curăți mânji
curăți murdări
blagoslovi blestema
