Aprinde Stinge
aprinde oprește
aprinde stinge
aprinde închide
aprinde suspendă
aprinde suspenda
aprinzi oprești
aprinzi închizi
aprinzi stingi
crește diminuează
crește redu
crește scade
crește scădea
crește micșorează
crești scazi
crești reduci
deschide stinge
deschide opri
deschide oprește
deschide suspendă
deschide suspenda
deschide închide
diminuează ridică
diminuează mărește
micșorează ridică
micșorează mărește
mărește scade
mărește redu
mărești scazi
mărești reduci
mări scădea
oprește pornește
oprești pornești
opri porni
pornește suspendă
pornești închizi
pornești stingi
porni suspenda
porni închide
porni stinge
redu ridică
reduci ridici
ridica scădea
ridici scazi
ridică scade
suspenda închide
